Tipo,Status,Data efetiva,Valor efetivo,Descrição,Categoria,Conta,Contato,CPF/CNPJ,Razão social,Forma,Observações,Data de criação
Receita,Pago,01/01/2024,50500.82,Locação de Veiculos,Operacional,1.1.1,Cliente A,12345678901,Cliente A Ltda,PIX,Receita principal,01/01/2024
Receita,Pago,01/01/2024,24926.20,Emplacamento,Operacional,1.1.12,Cliente B,12345678902,Cliente B Ltda,Cartão,Taxa de emplacamento,01/01/2024
Receita,Pago,01/01/2024,4074.01,Taxa de Manutenção,Operacional,1.1.2,Cliente C,12345678903,Cliente C Ltda,Transferência,Taxa manutenção,01/01/2024
Receita,Pago,01/01/2024,139810.00,Venda de Franquia,Comercial,1.1.4,Franqueado A,12345678904,Franqueado A Ltda,Transferência,Venda franquia,01/01/2024
Receita,Pago,01/01/2024,9024.17,Taxa de Espaço,Operacional,1.1.5,Cliente D,12345678905,Cliente D Ltda,PIX,Taxa espaço,01/01/2024
Receita,Pago,01/01/2024,9671.63,Taxa de Seguro,Operacional,1.1.6,Seguradora,12345678906,Seguradora XYZ,Transferência,Taxa seguro,01/01/2024
Receita,Pago,01/01/2024,195000.00,Empréstimo Mútuo,Financeiro,1.2.7,Sócio,12345678907,Sócio Principal,Transferência,Empréstimo,01/01/2024
Receita,Pago,01/01/2024,4098.45,Devolução e Reembolso,Outros,1.3.3,Diversos,12345678908,Diversos,PIX,Reembolsos,01/01/2024
Receita,Pago,01/01/2024,1600.00,Programa de Indicação,Marketing,1.3.7,Indicador,12345678909,Indicador A,PIX,Programa indicação,01/01/2024
Despesa,Pago,01/01/2024,267396.30,Despesas Operacionais,Operacional,2.1.1.1,Fornecedor A,12345678910,Fornecedor A Ltda,Transferência,Despesas operacionais,01/01/2024
Despesa,Pago,01/01/2024,464.56,Multa Veículo,Operacional,2.1.1.12,DETRAN,12345678911,DETRAN,Boleto,Multa veículo,01/01/2024
Despesa,Pago,01/01/2024,1608.00,Taxa de Royalties,Operacional,2.1.1.14,Franqueador,12345678912,Franqueador SA,Transferência,Royalties,01/01/2024
Despesa,Pago,01/01/2024,3150.00,Prestação de serviços PJ,Operacional,2.1.1.3,Prestador,12345678913,Prestador Ltda,PIX,Serviços PJ,01/01/2024
Despesa,Pago,01/01/2024,4563.64,Reboques / Guinchos,Operacional,2.1.1.6,Guincho A,12345678914,Guincho A Ltda,Cartão,Serviços guincho,01/01/2024
